26,34,960462,277180,26575,27356,26575,13056,9126,2683,0
29,54,39145,28225,20172,39551,20172,9933,5237,4750,0
40,48,75410,43144,8601,13564,8601,11663,2515,3251,0
66,47,16057,41211,2534,34254,2534,27663,11396,2825,0
81,67,10304,47239,33158,47349,33158,16328,5298,5471,0
69,54,95733,97816,22747,34873,22747,6898,7549,2603,0
57,67,38504,63547,48293,33267,48293,10078,2279,2055,0
56,77,57266,16194,22614,10379,22614,14633,8335,3583,0
51,70,1058339,117892,78062,23730,78062,18370,9872,9777,0
41,60,1734126,624883,86403,29780,86403,14859,8577,11765,0
51,51,274259,104009,28513,37515,28513,26183,10039,2756,0
27,56,155250,44705,68930,18211,68930,6704,3538,3379,0
37,50,118607,113964,2649,14545,2649,7736,3012,2264,0
26,63,1175124,58878,63677,38922,63677,11030,4906,5278,0
20,66,1708501,107221,125052,128520,125052,11176,1981,1185,0
38,64,933514,45238,13091,30073,13091,19514,5426,1274,0
26,84,481922,77837,24034,27190,24034,2876,4283,5088,2
29,84,33204,22843,21726,29561,21726,7160,4512,2102,0
44,60,233332,38133,8307,5321,8307,5046,979,727,0
26,63,1657292,103328,18075,81947,18075,10838,5793,3452,0
37,51,894843,159700,30751,12135,30751,9387,7781,1949,0
35,53,62167,29407,9125,50357,9125,6358,2649,2201,0
16,66,92627,26480,23890,2216,23890,1113,454,623,0
13,57,764906,180762,36579,33419,36579,11126,7212,2012,0
11,63,87540,41804,3691,14693,3691,2548,2449,3030,0
3,51,82608,111717,37440,40423,37440,7454,2490,2513,0
13,51,518298,77716,57933,15761,57933,7577,5119,2544,0
10,53,145068,115288,30390,22957,30390,5363,3402,1520,0
7,47,285887,112162,11440,16267,11440,3979,5920,5510,0
1,50,143111,22844,12910,6759,12910,1018,717,1636,0
1,61,322747,43254,89438,23927,89438,8560,2540,4806,0
11,77,159062,50008,42006,49483,42006,9739,5554,1842,0
16,90,1044124,66350,10056,47177,10056,5918,4420,3534,0
27,100,169247,18878,14411,55087,14411,5175,2543,2215,0
29,94,107407,24640,11876,23997,11876,3845,1039,3372,0
27,97,42545,19843,28168,29408,28168,4312,4867,1709,0
40,78,157001,13143,24497,27184,24497,9525,3454,2880,0
38,75,179005,47528,39379,11219,39379,6141,1739,3556,0
48,78,99174,9216,2419,50296,2419,7810,4636,4663,0
43,100,227904,93367,39339,34705,39339,5217,2633,2738,0
40,100,253462,30669,40470,51553,40470,13952,4095,2247,0
34,100,67063,53009,28593,43035,28593,4975,6515,1268,0
21,93,253587,66574,24104,47915,24104,6643,3132,2313,0
48,90,88833,19272,9301,14354,9301,13936,3060,1614,0
30,56,70844,125880,13773,8511,13773,4022,1452,1172,0
24,51,347412,129769,50203,57576,50203,5372,4114,3133,0
26,51,224706,79446,54969,30513,54969,8850,2988,1578,0
1,37,207380,198596,28722,4774,28722,4421,2760,2232,0
4,56,128446,37960,7551,28977,7551,5458,4495,1409,0
24,57,589351,38760,39689,9638,39689,10725,5318,4236,1
26,40,146491,56441,4762,9976,4762,4168,3879,2010,0
38,53,19908,16833,6235,4345,6235,1407,580,534,0
51,38,51258,12260,2879,3518,2879,3690,2458,2569,0
47,38,8379,12060,6452,7356,6452,2054,2638,2579,0
43,41,177909,27224,7249,2341,7249,1601,1370,577,0
48,53,64671,33275,2887,55977,2887,7305,2350,3011,0
38,84,27609,9794,34508,93631,34508,10560,3945,2008,0
38,91,8194,11025,8643,53768,8643,6263,3654,1718,0
38,97,46110,35842,9197,26265,9197,3293,2133,1869,0
17,74,128139,26557,2841,3274,2841,483,328,293,0
10,35,453638,61289,5323,3313,5323,2774,1775,1610,0
1,13,1201195,147122,42362,14536,42362,7338,8270,3417,0
7,11,36661,45209,32250,14835,32250,7669,2181,1479,0
20,29,64095,35469,41076,19644,41076,4405,2836,2118,0
20,41,77350,77697,15332,17461,15332,3966,1997,2739,0
23,56,82705,36598,35385,50655,35385,6119,2268,2964,0
21,54,18959,37926,8785,15868,8785,5099,9260,3530,0
26,50,47050,21932,15684,15008,15684,3591,4078,4552,0
63,47,28778,17745,17746,4599,17746,5561,1016,2367,0
48,51,91892,91897,13385,77841,13385,4278,4877,2472,0
44,53,1428861,66401,25972,43443,25972,7420,2045,1111,0
27,40,115907,122779,17580,9120,17580,9831,4622,1457,0
23,43,37611,22541,4605,26458,4605,5246,7818,1812,0
38,44,23595,16253,2565,21961,2565,3210,2752,1534,0
50,44,126598,47378,2354,66890,2354,15699,3679,1963,0
69,51,34653,2838,2140,1556,2140,1983,1035,451,0
81,51,34338,13294,14835,9238,14835,9373,2401,1535,0
84,54,95843,22958,17978,39379,17978,7743,1962,3744,0
67,60,51970,32012,41157,21005,41157,3543,2411,1396,0
43,74,24298,26397,8093,41599,8093,3100,4222,1841,0
40,75,95055,2095,6363,4748,6363,2484,2419,1354,0
51,61,41668,18620,11789,3787,11789,8677,1515,4932,0
